video_id,likes_mean,likes_std,view_mean,views_std,comment_mean,comment_std,dislike_mean,dislike_std,subscribes
QISBZEq9OXc,3.155440092086792,0.24479198455810547,4.821690082550049,0.15790081024169922,1.4537602663040161,0.2698284387588501,1.1125305891036987,0.231190487742424,7.123851640967086
znoNzgwrLpM,2.424684524536133,0.16825063526630402,4.350447654724121,0.13531909883022308,0.7065848112106323,0.15537218749523163,0.7561131119728088,0.2288132905960083,7.123851640967086
lAmuEnePHHo,2.4265644550323486,0.14941729605197906,4.359432697296143,0.12601573765277863,0.623897135257721,0.22751089930534363,0.3942923843860626,0.45201176404953003,7.123851640967086
vpozQc7VMVs,1.744311809539795,0.09622533619403839,3.8804616928100586,0.12677721679210663,0.8991265892982483,1.5960664749145508,0.3712901473045349,0.9500600099563599,7.123851640967086
06J5KGmct14,1.8931740522384644,0.16163325309753418,4.085187911987305,0.13119466602802277,1.917962908744812,1.903433918952942,0.6561356782913208,1.0504693984985352,7.123851640967086
9N7leomAGUs,3.5745134353637695,0.0,4.954845905303955,0.0,2.093421697616577,0.0,1.3585693836212158,0.0,7.123851640967086
R-0S123bEt0,1.8243632316589355,0.18200331926345825,3.371537208557129,0.13615109026432037,0.8298217058181763,1.3891984224319458,0.33955973386764526,0.8464368581771851,6.619093330626743
VljKRXeBBhI,0.4586094319820404,0.2584049701690674,1.8602935075759888,0.12712135910987854,1.8602935075759888,0.12712135910987854,1.8602935075759888,0.12712135910987854,6.619093330626743
8wbssZK5kdc,1.2997123003005981,0.18149736523628235,3.025373935699463,0.14742036163806915,1.0498007535934448,1.560430645942688,0.8262572884559631,1.4936354160308838,6.619093330626743
0pywwNJu1Is,0.929840087890625,0.31344684958457947,2.5982484817504883,0.1423996388912201,2.3617963790893555,0.7603191137313843,2.068545341491699,1.1464903354644775,6.619093330626743
IDW8r6pWKmY,0.34028685092926025,0.18428538739681244,2.092569351196289,0.12209994345903397,2.092569351196289,0.12209994345903397,2.092569351196289,0.12209994345903397,6.619093330626743
